2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080.mp4, video_duration=2885.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080 (9).mp4, video_duration=2742.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080 (9).mp4, video_duration=2742.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080 (9).mp4, video_duration=2742.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080 (9).mp4, video_duration=2742.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 17:25:21 | INFO     | app | Candidates generated: video=1080 (9).mp4, video_duration=2742.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
